Nanometers,Reference_Counts,Sample_Counts,Dark_Counts,Reference_Corrected,Sample_Corrected,Absorbance,Absorbance_per_cm
749.6,657.6,535.52,4.02,653.58,531.5,0.0897955,0.0897955
750.1,656.92,534.78,4.08,652.84,530.7,0.0899577,0.0899577
750.6,655.82,533.58,4.52,651.3,529.06,0.0902762,0.0902762
751.1,654.78,532.36,4.38,650.4,527.98,0.0905631,0.0905631
751.7,653.58,531.4,4.14,649.44,527.26,0.0905142,0.0905142
752.2,652.84,530.62,4,648.84,526.62,0.0906403,0.0906403
752.7,651.8,529.58,4.14,647.66,525.44,0.0908239,0.0908239
753.2,650.42,528.18,3.98,646.44,524.2,0.0910312,0.0910312
753.8,649.16,527.14,3.9,645.26,523.24,0.0910338,0.0910338
754.3,648.2,526.16,3.8,644.4,522.36,0.0911856,0.0911856
754.8,646.9,524.86,4.04,642.86,520.82,0.0914288,0.0914288
755.4,645.32,523.48,3.92,641.4,519.56,0.0914932,0.0914932
755.9,644.12,522.34,4.2,639.92,518.14,0.0916786,0.0916786
756.4,643.22,521.38,4.32,638.9,517.06,0.0918919,0.0918919
756.9,641.72,520.22,4.76,636.96,515.46,0.0919172,0.0919172
757.5,640.18,518.5,4.62,635.56,513.88,0.0922948,0.0922948
758,638.92,516.7,4.48,634.44,512.22,0.092934,0.092934
758.5,638,515.8,4.34,633.66,511.46,0.0930446,0.0930446
759,636.66,514.12,4.5,632.16,509.62,0.0935805,0.0935805
759.6,635.26,511.94,4.3,630.96,507.64,0.094446,0.094446
760.1,634.12,510.28,4.02,630.1,506.26,0.0950359,0.0950359
760.6,633.32,509.36,3.92,629.4,505.44,0.0952571,0.0952571
761.2,631.86,507.94,4.08,627.78,503.86,0.0954976,0.0954976
761.7,629.96,506.2,4.1,625.86,502.1,0.095687,0.095687
762.2,628.46,504.48,3.96,624.5,500.52,0.096111,0.096111
762.7,627,502.98,3.74,623.26,499.24,0.0963599,0.0963599
763.3,625.38,501.22,4.12,621.26,497.1,0.0968296,0.0968296
763.8,623.7,499.5,4.28,619.42,495.22,0.097187,0.097187
764.3,621.82,497.4,4.26,617.56,493.14,0.0977089,0.0977089
764.8,620.5,495.7,4.04,616.46,491.66,0.09824,0.09824
765.4,618.92,493.38,4.3,614.62,489.08,0.0992268,0.0992268
765.9,617.08,490.86,4.1,612.98,486.76,0.100131,0.100131
766.4,615.7,489.02,4.02,611.68,485,0.100783,0.100783
767,614.58,487.5,3.96,610.62,483.54,0.101339,0.101339
767.5,612.86,485.46,4.26,608.6,481.2,0.102006,0.102006
768,611.28,483.34,3.94,607.34,479.4,0.102734,0.102734
768.5,609.94,481.6,3.74,606.2,477.86,0.103315,0.103315
769.1,608.66,479.96,3.8,604.86,476.16,0.103902,0.103902
769.6,606.68,477.88,4.22,602.46,473.66,0.104462,0.104462
770.1,604.8,475.06,4.18,600.62,470.88,0.10569,0.10569
770.6,603.02,472.62,4.1,598.92,468.52,0.106641,0.106641
771.2,601.56,470.48,3.92,597.64,466.56,0.107532,0.107532
771.7,599.7,467.98,3.92,595.78,464.06,0.108512,0.108512
772.2,598.02,465.7,3.86,594.16,461.84,0.109412,0.109412
772.7,596.38,463.72,3.8,592.58,459.92,0.110065,0.110065
773.3,595.16,461.94,3.88,591.28,458.06,0.110871,0.110871
773.8,593.54,460.02,4.06,589.48,455.96,0.111542,0.111542
774.3,591.84,457.68,4,587.84,453.68,0.11251,0.11251
774.9,590.2,455.68,4.02,586.18,451.66,0.113219,0.113219
775.4,588.76,453.54,3.98,584.78,449.56,0.114205,0.114205
775.9,587.02,451.26,4.34,582.68,446.92,0.1152,0.1152
776.4,584.72,448.5,4.06,580.66,444.44,0.116109,0.116109
777,582.98,446.16,4.02,578.96,442.14,0.117089,0.117089
777.5,581.44,444.46,3.96,577.48,440.5,0.117591,0.117591
778,579.86,442.54,4.3,575.56,438.24,0.118379,0.118379
778.5,578.02,440.08,4.16,573.86,435.92,0.119399,0.119399
779.1,576.22,437.88,3.92,572.3,433.96,0.120174,0.120174
779.6,574.72,436.04,3.52,571.2,432.52,0.120782,0.120782
780.1,573.12,433.92,3.92,569.2,430,0.121796,0.121796
780.7,571.1,431.2,4.1,567,427.1,0.123053,0.123053
781.2,569.4,428.78,4.02,565.38,424.76,0.124197,0.124197
781.7,567.88,426.78,4.12,563.76,422.66,0.125103,0.125103
782.2,565.94,424.44,4.4,561.54,420.04,0.12609,0.12609
782.8,563.76,421.88,4.26,559.5,417.62,0.127019,0.127019
783.3,561.92,419.62,4.14,557.78,415.48,0.127913,0.127913
783.8,560.5,417.74,4,556.5,413.74,0.128738,0.128738
784.3,558.68,415.42,4.46,554.22,410.96,0.129883,0.129883
784.9,556.5,412.86,4.4,552.1,408.46,0.130868,0.130868
785.4,554.44,410.18,4.14,550.3,406.04,0.132031,0.132031
785.9,552.76,408.14,4.06,548.7,404.08,0.132868,0.132868
786.5,550.8,405.92,4.32,546.48,401.6,0.133781,0.133781
787,548.8,403.64,4.08,544.72,399.56,0.134591,0.134591
787.5,547.1,401.5,3.6,543.5,397.9,0.135426,0.135426
788,545.38,399.84,3.48,541.9,396.36,0.135829,0.135829
788.6,543.52,397.88,4.06,539.46,393.82,0.136661,0.136661
789.1,541.58,395.14,4.08,537.5,391.06,0.138135,0.138135
789.6,540.08,392.96,3.92,536.16,389.04,0.1393,0.1393
790.1,538.56,391.3,4.02,534.54,387.28,0.139955,0.139955
790.7,536.7,388.88,4.22,532.48,384.66,0.141226,0.141226
791.2,534.74,386.1,4.12,530.62,381.98,0.142743,0.142743
791.7,532.96,383.96,3.84,529.12,380.12,0.143633,0.143633
792.3,531.38,382.3,3.82,527.56,378.48,0.144229,0.144229
792.8,529.44,380,4.16,525.28,375.84,0.145388,0.145388
793.3,527.32,377.64,4,523.32,373.64,0.146314,0.146314
793.8,525.2,375.48,3.9,521.3,371.58,0.147035,0.147035
794.4,523.68,373.96,4.04,519.64,369.92,0.147595,0.147595
794.9,521.58,371.58,4.34,517.24,367.24,0.148742,0.148742
795.4,519.14,368.62,4.14,515,364.48,0.150134,0.150134
795.9,517.06,366.08,3.7,513.36,362.38,0.151258,0.151258
796.5,515.74,364.28,3.76,511.98,360.52,0.152324,0.152324
797,514.04,361.9,4.12,509.92,357.78,0.153886,0.153886
797.5,512.02,359.36,4.14,507.88,355.22,0.155264,0.155264
798.1,510.1,356.3,4,506.1,352.3,0.157324,0.157324
798.6,508.72,354.44,3.82,504.9,350.62,0.158369,0.158369
799.1,507,351.9,4.12,502.88,347.78,0.16016,0.16016
799.6,504.76,349.16,4.02,500.74,345.14,0.161617,0.161617
