Nanometers,Reference_Counts,Sample_Counts,Dark_Counts,Reference_Corrected,Sample_Corrected,Absorbance,Absorbance_per_cm
792.8,529.44,412.68,4.16,525.28,408.52,0.109178,0.109178
793.3,527.32,410.26,4,523.32,406.26,0.109963,0.109963
793.8,525.2,408.22,3.9,521.3,404.32,0.110363,0.110363
794.4,523.68,406.78,4.04,519.64,402.74,0.110678,0.110678
794.9,521.58,404.88,4.34,517.24,400.54,0.111046,0.111046
795.4,519.14,402.22,4.14,515,398.08,0.111837,0.111837
795.9,517.06,399.82,3.7,513.36,396.12,0.112595,0.112595
796.5,515.74,398.2,3.76,511.98,394.44,0.113272,0.113272
797,514.04,396.16,4.12,509.92,392.04,0.114172,0.114172
797.5,512.02,393.8,4.14,507.88,389.66,0.115075,0.115075
798.1,510.1,391.9,4,506.1,387.9,0.115517,0.115517
798.6,508.72,390.56,3.82,504.9,386.74,0.115786,0.115786
799.1,507,388.94,4.12,502.88,384.82,0.116207,0.116207
799.6,504.76,386.62,4.02,500.74,382.6,0.116867,0.116867
