Wavelength,Counts
584.91,0.056940573
585.83,0.052942829
586.28,0.055804444
586.74,0.072099597
587.2,0.104843323
587.65,0.11537966
588.11,0.086941587
588.57,0.057811578
589.02,0.043889632
589.48,0.037923974
589.94,0.035735665
590.39,0.036523948
590.85,0.039487321
591.3,0.043567497
591.76,0.049394203
592.22,0.060276266
592.67,0.078559696
593.13,0.096577857
593.59,0.094120012
594.04,0.071889915
594.5,0.050960765
594.95,0.039115348
595.41,0.033481051
595.87,0.031334686
596.32,0.030970541
596.78,0.030618759
597.23,0.030348133
597.69,0.03141587
598.15,0.035899694
598.6,0.043835968
599.06,0.05443498
599.51,0.06299725
599.97,0.063042755
600.43,0.054055351
600.88,0.042974797
601.34,0.034440276
601.79,0.028452408
602.25,0.024300516
602.7,0.02165887
603.16,0.0206873
603.61,0.021270711
604.07,0.022561302
604.98,0.025003401
606.35,0.030812455
606.8,0.035090602
607.26,0.040875726
607.71,0.048707523
608.17,0.059544751
608.62,0.075180556
609.08,0.098804464
609.53,0.136525601
609.99,0.205753769
610.44,0.349751184
610.9,0.654076951
611.35,1
611.81,0.960389951
612.26,0.650592537
612.72,0.444075525
613.17,0.357316803
613.63,0.309127898
614.08,0.280067939
614.54,0.262430991
614.99,0.235578797
615.45,0.193356605
615.9,0.149776111
616.36,0.11624689
616.81,0.093359681
617.27,0.077338517
617.72,0.065931066
618.18,0.057994539
618.63,0.052712202
619.09,0.049413451
619.54,0.047829055
619.99,0.049104989
620.45,0.05092811
621.36,0.053669296
621.81,0.053273555
622.27,0.053531437
622.72,0.0557852
623.18,0.060006826
623.63,0.063479552
624.08,0.064875855
624.54,0.065543633
624.99,0.066205653
626.35,0.068179991
626.81,0.067865718
627.26,0.066464213
627.72,0.064296583
628.17,0.062629717
628.62,0.061852392
629.08,0.062224637
629.53,0.065024495
629.99,0.074005003
630.44,0.094127067
630.89,0.123678674
631.35,0.135201911
631.8,0.106427974
632.26,0.067266353
632.71,0.042490805
633.16,0.030003543
633.62,0.023509339
634.07,0.019892734
634.52,0.01772306
634.98,0.016328661
635.88,0.014240758
637.7,0.011470461
640.42,0.009366295
641.32,0.009426545
644.95,0.009996333
646.76,0.009536844
648.57,0.010566814
649.02,0.011781728
649.47,0.014818355
649.93,0.022363936
650.38,0.035767926
650.83,0.04152488
651.28,0.033129114
652.19,0.018375583
652.64,0.017321505
653.09,0.019903859
653.55,0.01999374
654,0.016623349
654.45,0.013832341
654.9,0.012347729
655.35,0.011455935
655.81,0.010811541
657.16,0.010718988
657.62,0.012210583
658.07,0.013488662
658.52,0.01223146
658.97,0.009836975
659.42,0.008399907
659.88,0.007804185
660.33,0.007537572
660.78,0.007472755
661.23,0.008261528
661.68,0.011157775
662.13,0.018519879
662.59,0.026551035
663.04,0.024871439
663.49,0.018116866
663.94,0.013941951
664.39,0.011284653
664.84,0.009351026
665.3,0.008274064
665.75,0.007757676
666.65,0.007626052
670.26,0.006614142
673.87,0.005577559
676.57,0.004974085
677.47,0.005052022
681.08,0.00695299
682.88,0.005932318
683.33,0.005915432
684.68,0.006134947
686.03,0.008445877
686.48,0.010832773
686.93,0.015337808
687.38,0.021475673
687.83,0.025344958
688.28,0.023701926
688.73,0.018302863
689.18,0.012942118
689.63,0.009308076
690.08,0.007102984
690.53,0.006213404
690.98,0.006288411
691.43,0.00504893
691.88,0.004305147
692.33,0.004486897
692.78,0.005914136
693.23,0.010710819
693.68,0.019871065
694.13,0.02063189
694.58,0.012720459
695.03,0.007163712
695.48,0.005019233
695.93,0.004890965
696.38,0.008522843
696.83,0.012848906
697.28,0.007366097
697.72,0.003889957
698.17,0.002880045
698.62,0.002667633
699.07,0.002627791
700.87,0.003096069
702.67,0.004651777
703.56,0.007169436
704.01,0.009480244
704.46,0.010961558
705.36,0.015734509
705.81,0.022742734
706.26,0.034229766
706.7,0.052395425
707.15,0.064322206
707.6,0.059301215
708.05,0.045891197
708.5,0.042647708
708.95,0.063286123
709.4,0.07599671
709.84,0.052318418
710.29,0.029242765
710.74,0.019994779
711.19,0.020235312
711.64,0.029723033
712.09,0.049410266
712.53,0.061068306
712.98,0.05285309
713.43,0.031967206
713.88,0.017071855
714.33,0.010164538
714.78,0.007514347
715.22,0.005575968
715.67,0.00414934
716.12,0.003360236
717.02,0.002570917
718.81,0.001929182
720.6,0.001700319
724.18,0.001373864
727.31,0.003620922
727.76,0.003518209
728.21,0.002255198
728.65,0.001601048
729.1,0.001395352
729.55,0.001313563
731.33,0.001192802
734.91,0.000895556
738.04,0.004846912
738.48,0.014323231
738.93,0.011095312
739.37,0.005034351
739.82,0.002124251
740.27,0.00149794
740.71,0.001362504
741.16,0.001483361
742.05,0.002281923
742.94,0.003109517
743.39,0.002748432
743.84,0.002054074
745.18,0.000942964
745.62,0.000954391
747.4,0.001590772
748.74,0.000939846
749.19,0.001050586
749.63,0.001699445
750.08,0.005787007
750.52,0.013899639
750.97,0.012157561
751.42,0.015969948
751.86,0.014250173
752.31,0.007508271
752.75,0.003041728
753.2,0.001708313
753.64,0.001214847
754.53,0.000738522
756.31,0.000499957
759.87,0.000701313
762.54,0.003430023
762.99,0.012711093
763.43,0.05160501
763.88,0.055291888
764.32,0.030414774
764.77,0.010511119
765.21,0.004332363
765.66,0.002585099
766.1,0.001818629
766.99,0.001116092
768.77,0.000749994
769.21,0.000729216
770.54,0.000848548
771.43,0.001629851
771.88,0.005106716
772.32,0.018493992
772.76,0.019434255
773.21,0.011590371
773.65,0.00439855
774.1,0.002042323
774.54,0.001336109
774.98,0.001014255
775.87,0.00062573
777.65,0.000338324
781.19,0.000249738
784.3,0.000182722
784.74,0.000186335
787.84,0.000181868
788.28,0.000202853
791.82,0.000378347
794.04,0.002533768
794.48,0.010866859
794.92,0.018210242
795.36,0.015531234
795.81,0.007331661
796.25,0.002576446
796.69,0.001518283
797.13,0.001103098
