Wavelength,Intensity
738.11,0.65
738.64,0.63
739.17,0.81
739.70,1.06
740.23,0.86
740.76,0.70
741.30,0.49
741.83,0.40
742.36,0.37
742.90,0.47
743.43,0.60
743.97,0.83
744.50,0.69
745.04,0.68
745.57,0.71
746.11,0.83
746.65,1.07
747.18,1.45
747.72,1.84
748.26,1.64
748.80,1.32
749.34,0.94
749.87,0.72
750.41,0.45
750.95,0.34
751.50,0.35
752.04,0.40
752.58,0.42
753.12,0.30
753.66,0.30
754.21,0.27
754.75,0.39
755.30,0.64
755.84,0.77
756.39,0.94
756.93,1.50
757.48,1.63
758.03,1.65
758.57,1.74
759.12,1.81
759.67,3.90
760.22,11.36
760.77,17.89
761.32,7.58
761.87,1.43
762.42,1.03
762.98,1.98
763.53,1.03
764.08,0.70
764.64,0.89
765.19,0.37
765.75,0.33
766.30,0.40
766.86,0.56
767.42,0.48
767.98,0.42
768.54,0.65
769.09,1.39
769.66,2.05
770.22,1.77
770.78,0.98
771.34,0.47
771.90,0.23
772.47,0.21
773.03,0.20
773.60,0.03
774.16,0.00
774.73,0.00
775.30,0.00
775.87,0.00
776.44,0.00
777.01,0.00
777.58,0.00
778.15,0.00
778.72,0.00
779.30,0.00
779.87,0.00
780.45,0.00
781.02,0.82
781.60,0.82
782.18,0.77
782.76,0.74
783.34,0.80
783.92,0.85
784.50,0.91
785.08,0.91
785.67,0.93
786.25,0.97
786.84,1.01
787.42,1.02
788.01,1.08
788.60,1.15
789.19,1.19
789.78,1.27
790.37,1.37
790.96,1.41
791.55,1.46
792.15,1.55
792.74,1.66
793.34,2.11
793.94,2.33
794.54,2.47
795.13,2.12
795.74,1.63
796.34,1.46
796.94,1.43
797.54,1.57
798.15,1.55
798.76,1.56
799.36,1.84
799.97,2.18
800.58,2.74
801.19,3.02
801.80,2.98
802.42,2.79
803.03,2.14
803.65,1.90
804.27,1.83
804.88,1.89
805.50,2.18
806.12,2.70
806.75,3.16
807.37,3.60
807.99,4.03
808.62,3.91
809.25,5.99
809.88,9.98
810.51,11.93
811.14,11.35
811.77,10.44
812.40,10.76
813.04,14.23
813.68,17.28
814.31,8.83
814.95,3.14
815.59,2.73
816.24,2.84
816.88,2.50
817.53,2.24
818.17,1.89
818.82,1.65
819.47,1.52
820.12,1.43
820.77,1.43
821.43,1.41
822.08,1.42
822.74,1.40
823.40,1.46
824.06,1.43
824.72,1.48
825.39,1.46
826.05,1.47
826.72,1.56
827.39,1.71
828.06,1.80
828.73,1.82
829.40,1.75
830.08,1.77
830.76,1.91
831.43,2.26
832.11,2.41
832.80,2.26
833.48,1.91
834.17,1.50
834.85,1.44
835.54,1.37
836.23,1.20
836.93,1.05
837.62,1.01
838.32,0.93
839.01,0.93
839.71,0.95
840.42,1.02
841.12,1.07
841.83,1.09
